10,8,1,0
20,111,1,0
30,500,0,2
40,500,0,7
50,500,0,8
60,500,0,15
70,500,0,16
80,500,0,24
90,500,0,30
100,500,0,12

10,15,1,0
20,460,1,0
30,500,0,2
40,500,0,6
50,500,0,9
60,500,0,11
70,500,0,15
80,500,0,24
90,500,0,28
100,500,0,33

10,4,1,0
20,153,1,0
30,500,0,2
40,500,0,5
50,500,0,10
60,500,0,15
70,500,0,20
80,500,0,23
90,500,0,31
100,500,0,31

AVERAGES:
10, 9, 1, 0
20, 241.3333333, 1, 0
30, 500, 0, 2
40, 500, 0, 6
50, 500, 0, 9
60, 500, 0, 13.66666667
70, 500, 0, 17
80, 500, 0, 23.66666667
90, 500, 0, 29.66666667
100,500, 0, 25.33333333
