10, 56
20, 827
30, 2488
40, 18866
50, 964622
60, 16527293
70, 171853
80, 8019911
90, 66465871

10, 122
20, 384
30, 2854
40, 8053
50, 146282
60, 422838
70, 71910048

10, 104
20, 77
30, 2995
40, 6308
50, 83808
60, 39026773
70, 512633
